t,v
0.00608,-0.474394
0.00609,-0.469385
0.0061,-0.464378
0.00611,-0.459375
0.00612,-0.454375
0.00613,-0.449379
0.00614,-0.444388
0.00615,-0.439402
0.00616,-0.434421
0.00617,-0.429446
0.00618,-0.424477
0.00619,-0.419516
0.0062,-0.414561
0.00621,-0.409614
0.00622,-0.404675
0.00623,-0.399744
0.00624,-0.394822
0.00625,-0.389909
0.00626,-0.385006
0.00627,-0.380113
0.00628,-0.375231
0.00629,-0.370359
0.0063,-0.365499
0.00631,-0.36065
0.00632,-0.355813
0.00633,-0.350988
0.00634,-0.346176
0.00635,-0.341377
0.00636,-0.336592
0.00637,-0.33182
0.00638,-0.327062
0.00639,-0.322318
0.0064,-0.31759
0.00641,-0.312876
0.00642,-0.308178
0.00643,-0.303495
0.00644,-0.298829
0.00645,-0.294178
0.00646,-0.289545
0.00647,-0.284928
0.00648,-0.280328
0.00649,-0.275746
0.0065,-0.271182
0.00651,-0.266636
0.00652,-0.262108
0.00653,-0.257599
0.00654,-0.253109
0.00655,-0.248637
0.00656,-0.244186
0.00657,-0.239754
0.00658,-0.235341
0.00659,-0.230949
0.0066,-0.226578
0.00661,-0.222227
0.00662,-0.217896
0.00663,-0.213587
0.00664,-0.209299
0.00665,-0.205033
0.00666,-0.200789
0.00667,-0.196566
0.00668,-0.192365
0.00669,-0.188187
0.0067,-0.184032
0.00671,-0.179899
0.00672,-0.175789
0.00673,-0.171702
0.00674,-0.167639
0.00675,-0.163598
0.00676,-0.159582
0.00677,-0.155589
0.00678,-0.151621
0.00679,-0.147676
0.0068,-0.143756
0.00681,-0.13986
0.00682,-0.135989
0.00683,-0.132142
0.00684,-0.128321
0.00685,-0.124524
0.00686,-0.120753
0.00687,-0.117006
0.00688,-0.113286
0.00689,-0.10959
0.0069,-0.105921
0.00691,-0.102277
0.00692,-0.0986584
0.00693,-0.0950662
0.00694,-0.0915001
0.00695,-0.0879601
0.00696,-0.0844464
0.00697,-0.080959
0.00698,-0.0774981
0.00699,-0.0740637
0.007,-0.0706558
0.00701,-0.0672747
0.00702,-0.0639202
0.00703,-0.0605926
0.00704,-0.0572919
0.00705,-0.0540181
0.00706,-0.0507714
0.00707,-0.0475517
0.00708,-0.0443591
0.00709,-0.0411937
0.0071,-0.0380555
0.00711,-0.0349446
0.00712,-0.031861
0.00713,-0.0288047
0.00714,-0.0257758
0.00715,-0.0227743
0.00716,-0.0198002
0.00717,-0.0168536
0.00718,-0.0139345
0.00719,-0.0110429
0.0072,-0.00817882
0.00721,-0.00534228
0.00722,-0.00253328
0.00723,0.00024816
0.00724,0.00300204
0.00725,0.00572836
0.00726,0.00842711
0.00727,0.0110983
0.00728,0.0137419
0.00729,0.016358
0.0073,0.0189466
0.00731,0.0215076
0.00732,0.0240412
0.00733,0.0265472
0.00734,0.0290258
0.00735,0.0314769
0.00736,0.0339006
0.00737,0.036297
0.00738,0.038666
0.00739,0.0410076
0.0074,0.043322
0.00741,0.0456092
0.00742,0.0478691
0.00743,0.0501019
0.00744,0.0523075
0.00745,0.0544861
0.00746,0.0566377
0.00747,0.0587623
0.00748,0.06086
0.00749,0.0629309
0.0075,0.0649749
0.00751,0.0669923
0.00752,0.0689829
0.00753,0.070947
0.00754,0.0728845
0.00755,0.0747955
0.00756,0.0766801
0.00757,0.0785384
0.00758,0.0803705
0.00759,0.0821764
0.0076,0.0839562
0.00761,0.08571
0.00762,0.0874378
0.00763,0.0891398
0.00764,0.090816
0.00765,0.0924666
0.00766,0.0940915
0.00767,0.095691
0.00768,0.0972651
0.00769,0.0988138
0.0077,0.100337
0.00771,0.101836
0.00772,0.103309
0.00773,0.104758
0.00774,0.106181
0.00775,0.10758
0.00776,0.108955
0.00777,0.110305
0.00778,0.11163
0.00779,0.112931
0.0078,0.114208
0.00781,0.115461
0.00782,0.11669
0.00783,0.117895
0.00784,0.119077
0.00785,0.120234
0.00786,0.121369
0.00787,0.12248
0.00788,0.123568
0.00789,0.124632
0.0079,0.125674
0.00791,0.126692
0.00792,0.127688
0.00793,0.128662
0.00794,0.129613
0.00795,0.130541
0.00796,0.131447
0.00797,0.132331
0.00798,0.133193
0.00799,0.134034
0.008,0.134852
0.00801,0.135649
0.00802,0.136425
0.00803,0.137179
0.00804,0.137912
0.00805,0.138624
0.00806,0.139315
0.00807,0.139985
0.00808,0.140635
0.00809,0.141264
0.0081,0.141873
0.00811,0.142461
0.00812,0.14303
0.00813,0.143578
0.00814,0.144107
0.00815,0.144616
0.00816,0.145106
0.00817,0.145576
0.00818,0.146027
0.00819,0.146459
0.0082,0.146872
0.00821,0.147266
0.00822,0.147642
0.00823,0.147999
0.00824,0.148338
0.00825,0.148659
0.00826,0.148961
0.00827,0.149246
0.00828,0.149513
0.00829,0.149762
0.0083,0.149994
0.00831,0.150209
0.00832,0.150406
0.00833,0.150587
0.00834,0.15075
0.00835,0.150897
0.00836,0.151028
0.00837,0.151142
0.00838,0.15124
0.00839,0.151321
0.0084,0.151387
0.00841,0.151437
0.00842,0.151471
0.00843,0.15149
0.00844,0.151494
0.00845,0.151482
0.00846,0.151455
0.00847,0.151413
0.00848,0.151357
0.00849,0.151286
0.0085,0.151201
0.00851,0.151101
0.00852,0.150988
0.00853,0.15086
0.00854,0.150718
0.00855,0.150563
0.00856,0.150394
0.00857,0.150212
0.00858,0.150017
0.00859,0.149809
0.0086,0.149587
0.00861,0.149353
0.00862,0.149106
0.00863,0.148847
0.00864,0.148576
0.00865,0.148292
0.00866,0.147997
0.00867,0.147689
0.00868,0.14737
0.00869,0.147039
0.0087,0.146697
0.00871,0.146343
0.00872,0.145978
0.00873,0.145603
0.00874,0.145216
0.00875,0.144819
0.00876,0.144411
0.00877,0.143993
0.00878,0.143565
0.00879,0.143126
0.0088,0.142678
0.00881,0.142219
0.00882,0.141751
0.00883,0.141274
0.00884,0.140787
0.00885,0.140291
0.00886,0.139785
0.00887,0.139271
0.00888,0.138748
0.00889,0.138216
0.0089,0.137676
0.00891,0.137127
0.00892,0.13657
0.00893,0.136004
0.00894,0.135431
0.00895,0.13485
0.00896,0.134261
0.00897,0.133665
0.00898,0.133061
0.00899,0.13245
0.009,0.131831
0.00901,0.131206
0.00902,0.130573
0.00903,0.129934
0.00904,0.129288
0.00905,0.128636
0.00906,0.127977
0.00907,0.127312
0.00908,0.126641
0.00909,0.125963
0.0091,0.12528
0.00911,0.124591
0.00912,0.123897
0.00913,0.123197
0.00914,0.122491
0.00915,0.121781
0.00916,0.121065
0.00917,0.120344
0.00918,0.119618
0.00919,0.118888
0.0092,0.118152
0.00921,0.117413
0.00922,0.116668
0.00923,0.11592
0.00924,0.115167
0.00925,0.114411
0.00926,0.11365
0.00927,0.112885
0.00928,0.112117
0.00929,0.111345
0.0093,0.11057
0.00931,0.109791
0.00932,0.109009
0.00933,0.108224
0.00934,0.107436
0.00935,0.106645
0.00936,0.105851
0.00937,0.105054
0.00938,0.104255
0.00939,0.103453
0.0094,0.102649
0.00941,0.101843
0.00942,0.101034
0.00943,0.100223
0.00944,0.0994103
0.00945,0.0985956
0.00946,0.0977791
0.00947,0.0969609
0.00948,0.0961411
0.00949,0.0953199
0.0095,0.0944972
0.00951,0.0936732
0.00952,0.092848
0.00953,0.0920217
0.00954,0.0911943
0.00955,0.0903661
0.00956,0.089537
0.00957,0.0887071
0.00958,0.0878766
0.00959,0.0870456
0.0096,0.086214
0.00961,0.0853821
0.00962,0.0845498
0.00963,0.0837174
0.00964,0.0828848
0.00965,0.0820522
0.00966,0.0812196
0.00967,0.0803871
0.00968,0.0795548
0.00969,0.0787229
0.0097,0.0778912
0.00971,0.0770601
0.00972,0.0762294
0.00973,0.0753994
0.00974,0.07457
0.00975,0.0737414
0.00976,0.0729136
0.00977,0.0720867
0.00978,0.0712608
0.00979,0.0704359
0.0098,0.0696122
0.00981,0.0687896
0.00982,0.0679684
0.00983,0.0671484
0.00984,0.0663299
0.00985,0.0655128
0.00986,0.0646973
0.00987,0.0638833
0.00988,0.0630711
0.00989,0.0622605
0.0099,0.0614518
0.00991,0.0606449
0.00992,0.05984
0.00993,0.059037
0.00994,0.0582361
0.00995,0.0574373
0.00996,0.0566407
0.00997,0.0558463
0.00998,0.0550541
0.00999,0.0542643
0.01,0.0534769
