t,v
0.00887,-0.0523145
0.00888,-0.0531841
0.00889,-0.0540397
0.0089,-0.0548815
0.00891,-0.0557094
0.00892,-0.0565236
0.00893,-0.057324
0.00894,-0.0581108
0.00895,-0.058884
0.00896,-0.0596437
0.00897,-0.0603899
0.00898,-0.0611226
0.00899,-0.061842
0.009,-0.0625481
0.00901,-0.0632409
0.00902,-0.0639206
0.00903,-0.0645871
0.00904,-0.0652406
0.00905,-0.065881
0.00906,-0.0665086
0.00907,-0.0671233
0.00908,-0.0677252
0.00909,-0.0683143
0.0091,-0.0688908
0.00911,-0.0694547
0.00912,-0.0700061
0.00913,-0.070545
0.00914,-0.0710715
0.00915,-0.0715857
0.00916,-0.0720876
0.00917,-0.0725774
0.00918,-0.0730551
0.00919,-0.0735207
0.0092,-0.0739744
0.00921,-0.0744162
0.00922,-0.0748461
0.00923,-0.0752643
0.00924,-0.0756709
0.00925,-0.0760659
0.00926,-0.0764493
0.00927,-0.0768213
0.00928,-0.077182
0.00929,-0.0775313
0.0093,-0.0778695
0.00931,-0.0781965
0.00932,-0.0785124
0.00933,-0.0788174
0.00934,-0.0791114
0.00935,-0.0793947
0.00936,-0.0796672
0.00937,-0.079929
0.00938,-0.0801803
0.00939,-0.080421
0.0094,-0.0806514
0.00941,-0.0808713
0.00942,-0.0810811
0.00943,-0.0812806
0.00944,-0.08147
0.00945,-0.0816494
0.00946,-0.0818189
0.00947,-0.0819785
0.00948,-0.0821283
0.00949,-0.0822684
0.0095,-0.0823989
0.00951,-0.0825199
0.00952,-0.0826315
0.00953,-0.0827336
0.00954,-0.0828265
0.00955,-0.0829102
0.00956,-0.0829847
0.00957,-0.0830503
0.00958,-0.0831068
0.00959,-0.0831545
0.0096,-0.0831934
0.00961,-0.0832236
0.00962,-0.0832452
0.00963,-0.0832583
0.00964,-0.0832629
0.00965,-0.0832591
0.00966,-0.083247
0.00967,-0.0832267
0.00968,-0.0831983
0.00969,-0.0831619
0.0097,-0.0831175
0.00971,-0.0830653
0.00972,-0.0830052
0.00973,-0.0829375
0.00974,-0.0828621
0.00975,-0.0827791
0.00976,-0.0826888
0.00977,-0.082591
0.00978,-0.082486
0.00979,-0.0823737
0.0098,-0.0822543
0.00981,-0.0821279
0.00982,-0.0819945
0.00983,-0.0818543
0.00984,-0.0817072
0.00985,-0.0815534
0.00986,-0.081393
0.00987,-0.0812261
0.00988,-0.0810527
0.00989,-0.0808728
0.0099,-0.0806867
0.00991,-0.0804944
0.00992,-0.0802959
0.00993,-0.0800913
0.00994,-0.0798808
0.00995,-0.0796643
0.00996,-0.0794421
0.00997,-0.079214
0.00998,-0.0789804
0.00999,-0.0787411
0.01,-0.0784963
